City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dampit,-8.2116,112.7493,23.68,96,98,1.02,ID,1713742325
1,beibei,29.8256,106.4339,19.65,94,100,0.48,CN,1713742325
2,papatowai,-46.5619,169.4708,10.03,67,74,7.95,NZ,1713742323
3,mount gambier,-37.8333,140.7667,14.56,55,6,2.41,AU,1713742329
4,waitangi,-43.9535,-176.5597,14.34,87,37,3.13,NZ,1713742330
5,edinburgh of the seven seas,-37.0676,-12.3116,17.19,83,43,8.74,SH,1713742331
6,port-aux-francais,-49.35,70.2167,5.23,73,9,11.4,TF,1713742149
7,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1713742214
8,port alfred,-33.5906,26.891,21.77,96,100,2.68,ZA,1713742332
9,blackmans bay,-43.0167,147.3167,14.85,74,14,0.45,AU,1713742332
10,west island,-12.1568,96.8225,26.99,89,75,8.75,CC,1713742298
11,yellowknife,62.456,-114.3525,12.29,37,20,1.54,CA,1713742334
12,aasiaat,68.7098,-52.8699,-0.54,98,100,1.99,GL,1713742334
13,selfoss,63.9331,-20.9971,1.69,75,43,1.45,IS,1713742335
14,keflavik,64.0049,-22.5624,4.95,93,0,2.57,IS,1713742335
15,lihue,21.9789,-159.3672,27.58,66,40,7.2,US,1713742336
16,iguape,-24.7081,-47.5553,20.67,87,0,2.37,BR,1713742336
17,aitape,-3.1374,142.3475,30.18,67,18,1.8,PG,1713742339
18,toropets,56.4978,31.6353,8.46,95,100,5.2,RU,1713742339
19,vengerovo,55.6848,76.7471,6.08,85,36,4.99,RU,1713742340
20,sesheke,-17.4759,24.2968,17.65,46,0,2.11,ZM,1713742340
21,grytviken,-54.2811,-36.5092,3.34,87,90,2.69,GS,1713742340
22,isafjordur,66.0755,-23.124,1.4,84,30,4.93,IS,1713742341
23,abepura,-2.6333,140.5833,28.45,84,20,2.57,ID,1713742343
24,kerikeri,-35.2268,173.9474,20.51,70,14,4.5,NZ,1713742345
25,atafu village,-8.5421,-172.5159,29.36,77,39,4.8,TK,1713742347
26,hirara,24.8,125.2833,26.92,94,75,5.14,JP,1713742347
27,bilibino,68.0546,166.4372,-8.28,59,97,1.26,RU,1713742348
28,itoman,26.1247,127.6694,26.72,98,75,4.63,JP,1713742350
29,puerto natales,-51.7236,-72.4875,2.44,93,86,2.34,CL,1713742350
30,page,36.9147,-111.4558,27.05,12,0,3.13,US,1713742350
31,sontheim an der brenz,48.5523,10.291,3.14,98,100,4.72,DE,1713742352
32,valparaiso,-33.0393,-71.6273,19.52,68,75,4.12,CL,1713742175
33,gulf park estates,30.3919,-88.7611,21.01,43,0,7.2,US,1713742354
34,alliance,40.9153,-81.1059,8.15,66,61,2.17,US,1713742354
35,bethel,41.3712,-73.414,9.64,44,0,3.09,US,1713742160
36,tandalti,13.0167,31.8667,29.72,13,96,4.65,SD,1713742355
37,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,97,20,3.13,RU,1713742355
38,stanley,54.868,-1.6985,4.6,90,75,1.03,GB,1713742355
39,carnarvon,-24.8667,113.6333,22.16,44,0,7.17,AU,1713742187
40,adamstown,-25.066,-130.1015,22.37,72,66,10.43,PN,1713742303
41,polna,49.487,15.7188,0.39,85,32,2.64,CZ,1713742356
42,kourou,5.1552,-52.6478,26.03,93,100,0.99,GF,1713742356
43,new norfolk,-42.7826,147.0587,15.51,61,20,1.53,AU,1713742356
44,bredasdorp,-34.5322,20.0403,15.15,86,47,2.65,ZA,1713742357
45,boyolangu,-8.1181,111.8935,24.85,94,100,1.02,ID,1713742357
46,benguela,-12.5763,13.4055,25.96,85,9,1.64,AO,1713742357
47,broken hill,-31.95,141.4333,19.18,33,0,4.71,AU,1713742358
48,hithadhoo,-0.6,73.0833,28.97,73,100,1.47,MV,1713742359
49,margaret river,-33.95,115.0667,15.93,64,96,7.43,AU,1713742359
50,callao,-12.0667,-77.15,23.16,73,0,4.63,PE,1713742359
51,nogliki,51.8333,143.1667,0.19,97,100,4.47,RU,1713742359
52,vilyuysk,63.7553,121.6247,0.56,100,100,3.58,RU,1713742363
53,ilulissat,69.2167,-51.1,6.01,56,20,5.66,GL,1713742363
54,nova sintra,14.8667,-24.7167,22.77,73,23,6.33,CV,1713742364
55,sur,22.5667,59.5289,26.38,77,0,4.01,OM,1713742366
56,olonkinbyen,70.9221,-8.7187,-4.04,86,98,14.92,SJ,1713742367
57,lerwick,60.1545,-1.1494,8.0,92,100,3.39,GB,1713742367
58,guerrero negro,27.9769,-114.0611,18.2,70,20,7.76,MX,1713742300
59,albany,42.6001,-73.9662,7.42,56,89,1.34,US,1713742320
60,kodiak,57.79,-152.4072,7.73,61,75,3.6,US,1713742371
61,east london,-33.0153,27.9116,23.23,91,100,7.4,ZA,1713742249
62,tekeli,44.83,78.8239,12.58,51,0,4.48,KZ,1713742371
63,eyl,7.9803,49.8164,27.98,75,100,2.39,SO,1713742372
64,kirillov,59.863,38.3813,5.55,70,97,5.49,RU,1713742372
65,port macquarie,-31.4333,152.9167,22.16,66,100,3.58,AU,1713742372
66,port saint john's,-31.6229,29.5448,22.0,88,100,3.76,ZA,1713742372
67,avarua,-21.2078,-159.775,28.03,69,40,4.63,CK,1713742373
68,cedeira,43.6797,-8.0209,12.13,68,5,15.0,ES,1713742373
69,narasannapeta,18.4167,84.05,27.46,64,100,3.93,IN,1713742373
70,juneau,58.3019,-134.4197,14.0,74,75,4.12,US,1713742373
71,barabai,-2.5833,115.3833,24.79,98,100,0.55,ID,1713742374
72,benjamin constant,-4.3831,-70.0311,28.07,89,20,1.03,BR,1713742374
73,buritis,-15.6178,-46.4233,24.98,63,100,0.52,BR,1713741990
74,ribeira grande,38.5167,-28.7,14.32,79,100,3.58,PT,1713742350
75,concepcion,-36.827,-73.0498,13.89,77,100,7.2,CL,1713742338
76,ust-nera,64.5667,143.2,-1.64,86,100,1.17,RU,1713742375
77,stavern,59.0,10.0333,1.4,79,33,6.52,NO,1713742375
78,acarau,-2.8856,-40.12,25.75,89,83,3.61,BR,1713742375
79,kolwezi,-10.7148,25.4667,15.7,90,5,2.2,CD,1713742376
80,miyako,39.6367,141.9525,12.97,63,78,2.26,JP,1713742376
81,nemuro,43.3236,145.575,2.92,90,96,3.92,JP,1713742084
82,saint-philippe,-21.3585,55.7679,22.84,86,6,2.21,RE,1713742359
83,nouadhibou,20.931,-17.0347,19.99,68,1,9.26,MR,1713742376
84,thompson,55.7435,-97.8558,6.09,22,0,2.06,CA,1713742326
85,badger,64.8,-147.5333,14.14,31,0,0.0,US,1713742377
86,horta,38.5333,-28.6333,13.9,79,100,4.47,PT,1713742377
87,namibe,-15.1961,12.1522,25.81,72,78,1.49,AO,1713742377
88,puerto ayora,-0.7393,-90.3518,25.86,96,33,0.89,EC,1713742378
89,vera,-29.4593,-60.2126,22.64,85,90,2.84,AR,1713742378
90,newport,51.5877,-2.9984,7.51,74,90,3.03,GB,1713742379
91,urucara,-2.5364,-57.76,22.93,99,100,0.6,BR,1713742379
92,kingscliff,-28.2667,153.5667,23.89,60,75,7.72,AU,1713742381
93,cannonvale,-20.2833,148.7,22.66,77,32,7.08,AU,1713742381
94,saldanha,-33.0117,17.9442,12.03,92,4,2.26,ZA,1713742381
